plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile
8253-9101,1-274663,0.028031,0.293,0.293,201.5,9.275402969687972,1,1,0,11.063,11.126,0.134,0.014057,66.887,0.0629999999999988,11.066,11.12,0.114,0.020533,85.847,0.0539999999999984,10.541014793661471,10.878555,200.06175,1.0437684,0.720337,7.35173,1024,5.397129011949115,0.33689984180126686,0.33389984180126675,0.8588850481397962,0.5213448418012671,High
8253-12704,1-274583,0.024637,0.873,0.873,107.2,6.176123901837605,3,1,0,10.253,10.255,0.005,0.027779,82.752,0.0020000000000006,10.222,10.244,0.05,0.024844,81.764,0.0220000000000002,9.883980935630683,10.221521,66.06611,0.94390064,0.320125,8.5176,1168,3.1716191151279802,-0.04635258556715246,-0.015352585567151782,0.3226664788021643,-0.014873585567151456,Mid
8253-12703,1-275456,0.0243203,0.703,0.703,135.5,10.654560075080932,1,1,0,10.844,10.846,0.004,0.021523,72.594,0.0020000000000006,10.695,10.821,0.252,0.020346,73.86,0.1259999999999994,10.165443171439582,10.502984,104.652336,0.91125435,0.488516,12.0436,1040,5.403168289694812,-0.006444736166000891,0.1425552638339982,0.6721120923944162,0.3345712638339989,Mid
8253-9102,1-274593,0.0291267,0.745,0.745,83.3,7.5057852969602195,3,1,2,10.287,10.312,0.055,0.023449,65.862,0.0249999999999985,10.315,10.315,0.0,0.023332,66.035,0.0,9.694549044097538,10.032089,61.271244,0.9126655,0.557537,7.54981,4288,4.53213869645468,0.009225503537823032,-0.01877449646217568,0.6016764594402855,0.2641365035378247,Mid
8253-3703,1-274689,0.0272573,0.615,0.615,81.9,4.668543654737929,1,1,0,10.007,10.11,0.211,0.028774,60.036,0.1029999999999997,10.025,10.112,0.182,0.028773,59.898,0.0869999999999997,9.729177753513666,10.066718,71.01415,1.1226895,0.701081,4.21057,1168,2.6440058560489765,0.18336111454820225,0.1653611145482016,0.4611833610345363,0.12364311454820212,Low
8320-3702,1-523108,0.0273373,0.655,0.655,95.7,3.650584005040161,1,1,2,10.027,10.027,0.0,0.042354,70.072,0.0,9.968,10.016,0.105,0.038013,69.0,0.048,9.568360153963452,9.905901,86.29096,1.0194559,0.511913,3.81189,4288,2.0733568416651185,0.2270135709136754,0.2860135709136747,0.6856534169502226,0.3481125709136746,Low
8330-12703,1-285737,0.0269457,0.752,0.752,94.3,9.736438259330358,3,1,0,10.333,10.729,0.598,0.020546,41.678,0.395999999999999,10.233,10.73,0.681,0.020526,41.849,0.4969999999999999,10.03821070703774,10.3757515,64.2737,0.8850156,0.756729,8.45117,1168,5.453202257377216,0.08512712408185914,0.1851271240818587,0.3799164170441195,0.042375624081859506,Mid
8552-12701,1-321739,0.0283402,0.803,0.803,154.3,7.218172589409618,1,1,0,10.755,10.755,0.0,0.027272,84.264,0.0,10.755,10.755,0.0,0.027178,84.565,0.0,10.276041093107288,10.613582,112.86667,0.9853163,0.381271,8.68894,1552,4.244818319285239,0.04339944621768991,0.04339944621768991,0.5223583531104025,0.1848174462176914,Mid
8330-3702,1-285729,0.054177,0.362,0.362,158.0,7.335365043979519,3,1,0,11.243,11.243,0.0,0.027108,26.823,0.0,11.24,11.241,0.0,0.02706,26.831,0.0009999999999994,10.82166678176703,11.159207,162.29686,0.9488727,0.913984,5.1646,1040,7.994741579402762,0.14583358078776767,0.1488335807877677,0.5671667990207376,0.22962658078776757,High
8335-3702,1-252073,0.0182761,0.761,0.761,64.0,2.727806045256324,1,1,0,9.317,9.402,0.177,0.066148,73.773,0.084999999999999,9.415,9.427,0.026,0.06532,74.708,0.0120000000000004,9.01761340302503,9.355154,51.396225,0.9464816,0.508802,3.03103,1168,1.047205736706395,0.19030337156615032,0.09230337156615132,0.4896899685411213,0.15214937156614994,Low
